<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STX,D,20180404,000000,2.8332,2.8332,2.7982,2.8051,57830,0
STX,D,20180405,000000,2.8261,2.8473,2.8121,2.8332,86062,0
STX,D,20180406,000000,2.8192,2.8613,2.8051,2.8542,299608,0
STX,D,20180409,000000,2.8542,3.0155,2.8542,3.0155,433110,0
STX,D,20180410,000000,3.0155,3.0155,2.9034,2.9034,197930,0
STX,D,20180411,000000,2.9595,2.9595,2.8893,2.9104,79132,0
STX,D,20180412,000000,2.9315,2.9384,2.8893,2.8963,158209,0
STX,D,20180413,000000,2.9244,2.9244,2.8963,2.8963,176130,0
STX,D,20180416,000000,2.8963,2.9174,2.8823,2.8893,265744,0
STX,D,20180417,000000,2.912,2.9346,2.8818,2.9044,150964,0
STX,D,20180418,000000,2.9271,2.9648,2.9195,2.9346,46098,0
STX,D,20180419,000000,2.9346,2.9572,2.9195,2.9496,63209,0
STX,D,20180420,000000,2.9496,2.9496,2.9195,2.9421,80725,0
STX,D,20180423,000000,2.9195,2.9648,2.9044,2.9496,58620,0
STX,D,20180424,000000,2.9572,2.9572,2.9195,2.9421,73347,0
STX,D,20180425,000000,2.9421,2.9496,2.9271,2.9496,67711,0
STX,D,20180426,000000,2.9421,2.9496,2.9421,2.9496,234797,0
STX,D,20180427,000000,2.9799,2.9874,2.9421,2.9799,101436,0
STX,D,20180430,000000,2.9496,2.9874,2.9421,2.9572,124249,0
STX,D,20180502,000000,2.9496,2.9799,2.9421,2.9799,29791,0
STX,D,20180504,000000,2.9496,2.9799,2.9421,2.9421,281898,0
STX,D,20180507,000000,2.9421,2.9723,2.9421,2.9648,103292,0
STX,D,20180508,000000,2.9572,2.9799,2.9572,2.9723,77836,0
STX,D,20180509,000000,2.9648,2.9723,2.9572,2.9648,21206,0
STX,D,20180510,000000,2.9648,2.9799,2.9496,2.9572,38701,0
STX,D,20180511,000000,2.9496,2.9723,2.9421,2.9648,36393,0
STX,D,20180514,000000,2.9421,2.995,2.9421,2.9874,120065,0
STX,D,20180515,000000,3.0024,3.0024,2.9799,2.995,122279,0
STX,D,20180516,000000,2.9799,2.995,2.9799,2.995,45086,0
STX,D,20180517,000000,2.9799,3.0552,2.9799,3.0552,467271,0
STX,D,20180518,000000,3.0402,3.0402,2.995,3.01,33322,0
STX,D,20180521,000000,3.0175,3.0175,2.9874,2.9874,43710,0
STX,D,20180522,000000,2.9874,3.0024,2.9874,2.995,34419,0
STX,D,20180523,000000,3.0024,3.0024,2.9799,2.995,64849,0
STX,D,20180524,000000,2.9799,2.9874,2.9799,2.9874,96877,0
STX,D,20180525,000000,2.9799,2.9874,2.9799,2.9799,106197,0
STX,D,20180528,000000,2.9648,2.9874,2.9572,2.9799,14268,0
STX,D,20180529,000000,2.9799,2.9874,2.9572,2.9799,69204,0
STX,D,20180530,000000,2.9874,2.9874,2.912,2.912,120888,0
STX,D,20180601,000000,2.912,2.9421,2.8818,2.9195,41333,0
STX,D,20180604,000000,2.9195,2.9195,2.8591,2.8818,39346,0
STX,D,20180605,000000,2.731,2.8591,2.7234,2.8441,276147,0
STX,D,20180606,000000,2.8139,2.8441,2.8139,2.8214,44539,0
STX,D,20180607,000000,2.8667,2.8667,2.829,2.829,1703440,0
