<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATP,D,20090925,000000,2.3257,2.4556,2.3257,2.4362,31116,0
ATP,D,20090928,000000,2.4362,2.4362,2.4362,2.4362,24,0
ATP,D,20090929,000000,2.3257,2.4296,2.3257,2.4103,4866,0
ATP,D,20090930,000000,2.3387,2.3777,2.3193,2.3777,4158,0
ATP,D,20091001,000000,2.3906,2.3906,2.3906,2.3906,1,0
ATP,D,20091002,000000,2.3777,2.3777,2.2607,2.3323,2236,0
ATP,D,20091005,000000,2.3323,2.3712,2.3323,2.3712,19,0
ATP,D,20091006,000000,2.3712,2.3712,2.3648,2.3648,10,0
ATP,D,20091007,000000,2.3387,2.3387,2.2607,2.3062,10115,0
ATP,D,20091008,000000,2.3387,2.5336,2.2931,2.5142,30553,0
ATP,D,20091009,000000,2.5142,2.761,2.5142,2.748,35411,0
ATP,D,20091012,000000,2.7545,2.8194,2.6375,2.7284,20759,0
ATP,D,20091013,000000,2.761,2.7935,2.7284,2.761,7187,0
ATP,D,20091014,000000,2.8259,2.8259,2.7805,2.7805,4819,0
ATP,D,20091015,000000,2.7935,2.8324,2.6895,2.6895,3366,0
ATP,D,20091016,000000,2.696,2.696,2.5986,2.5986,7061,0
ATP,D,20091019,000000,2.6505,2.6635,2.5725,2.6635,3035,0
ATP,D,20091020,000000,2.5986,2.6635,2.4686,2.6635,16682,0
ATP,D,20091021,000000,2.657,2.6635,2.5597,2.6635,2100,0
ATP,D,20091022,000000,2.5336,2.6051,2.5336,2.6051,4579,0
ATP,D,20091023,000000,2.696,2.7545,2.6699,2.7545,10655,0
ATP,D,20091026,000000,2.696,2.839,2.696,2.839,9173,0
ATP,D,20091027,000000,2.8259,2.9104,2.735,2.9104,3873,0
ATP,D,20091028,000000,2.9233,3.1507,2.9233,3.0209,21189,0
ATP,D,20091029,000000,2.9884,2.9884,2.8,2.9233,9500,0
ATP,D,20091030,000000,2.9884,2.9884,2.9233,2.9363,5533,0
ATP,D,20091102,000000,2.9754,3.0012,2.9104,2.9429,8957,0
ATP,D,20091103,000000,2.9233,2.9233,2.9233,2.9233,1041,0
ATP,D,20091104,000000,2.9818,2.9818,2.8518,2.9818,1492,0
ATP,D,20091105,000000,2.9884,3.1053,2.9558,3.0532,8697,0
ATP,D,20091106,000000,3.0532,3.0532,3.0209,3.0209,3808,0
ATP,D,20091109,000000,2.8714,3.0728,2.8714,3.0728,62404,0
ATP,D,20091110,000000,3.0664,3.0728,3.0664,3.0728,2482,0
ATP,D,20091112,000000,2.9233,3.0728,2.9233,3.0532,12867,0
ATP,D,20091113,000000,3.0532,3.0532,3.0532,3.0532,1246,0
ATP,D,20091116,000000,3.0209,3.0209,2.9558,2.9689,2144,0
ATP,D,20091117,000000,2.9233,2.9689,2.8714,2.9689,3315,0
ATP,D,20091118,000000,2.9233,3.0209,2.9233,3.0209,109,0
ATP,D,20091119,000000,2.9233,2.9233,2.9233,2.9233,192,0
ATP,D,20091120,000000,2.9754,2.9818,2.9233,2.9233,1232,0
ATP,D,20091123,000000,2.9884,3.2157,2.6635,3.2157,20830,0
ATP,D,20091124,000000,3.1703,3.1832,3.0143,3.1118,8246,0
ATP,D,20091125,000000,3.1182,3.1182,3.1182,3.1182,1776,0
ATP,D,20091126,000000,3.1118,3.1118,3.1118,3.1118,1415,0
ATP,D,20091127,000000,3.0858,3.1118,3.0209,3.1118,816,0
ATP,D,20091130,000000,3.1507,3.2482,3.0272,3.2157,10671,0
ATP,D,20091201,000000,3.2482,3.2482,3.2482,3.2482,10591,0
ATP,D,20091202,000000,3.2482,3.2482,3.2222,3.2351,1976,0
ATP,D,20091203,000000,3.2482,3.2482,3.2286,3.2286,8394,0
ATP,D,20091204,000000,3.2482,3.2482,3.1573,3.2416,1608,0
ATP,D,20091207,000000,3.1573,3.3131,3.1573,3.3066,2468,0
ATP,D,20091208,000000,3.3586,3.3586,3.1573,3.2482,3869,0
ATP,D,20091209,000000,3.1832,3.1832,3.0988,3.0988,10245,0
ATP,D,20091210,000000,3.2416,3.2416,3.2416,3.2416,1109,0
ATP,D,20091211,000000,3.2416,3.2416,3.1832,3.1832,1111,0
ATP,D,20091214,000000,3.2286,3.2286,3.2157,3.2157,1213,0
ATP,D,20091215,000000,3.2482,3.573,3.2482,3.573,98162,0
ATP,D,20091216,000000,3.3197,4.0148,3.3197,4.0148,147481,0
