<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IPF,D,20070824,000000,6.7452,7.046,6.7452,6.9433,1031324,0
IPF,D,20070828,000000,6.9239,7.0008,6.8347,6.8347,1197949,0
IPF,D,20070829,000000,6.7772,6.9626,6.7516,6.873,5569773,0
IPF,D,20070830,000000,7.0008,7.1284,6.8794,6.9752,1136856,0
IPF,D,20070831,000000,7.1032,7.1032,6.9049,7.0392,3570105,0
IPF,D,20070903,000000,6.9626,7.3458,6.9433,7.3203,2079879,0
IPF,D,20070904,000000,7.1801,7.773,7.1538,7.6524,5319853,0
IPF,D,20070905,000000,7.8824,8.5339,7.8824,8.1006,3212732,0
IPF,D,20070906,000000,8.1632,8.1632,7.7665,8.0549,7920937,0
IPF,D,20070907,000000,8.1632,8.464,7.8953,8.1123,4001718,0
IPF,D,20070910,000000,7.8567,8.1055,7.8567,8.0666,2472429,0
IPF,D,20070911,000000,7.9965,8.4951,7.9965,8.3364,8014852,0
IPF,D,20070912,000000,8.4257,8.4257,7.9025,7.9025,2095028,0
IPF,D,20070913,000000,8.0168,8.0168,7.7553,7.7553,2994248,0
IPF,D,20070914,000000,7.6901,7.8622,7.3458,7.4412,4840747,0
IPF,D,20070917,000000,7.3137,7.6263,7.1989,7.4742,6613874,0
IPF,D,20070918,000000,7.3587,7.6397,7.3587,7.5505,3860592,0
IPF,D,20070919,000000,7.6653,7.9128,7.646,7.716,3113855,0
IPF,D,20070920,000000,7.7279,7.7279,7.3964,7.4227,4321622,0
IPF,D,20070921,000000,7.4035,7.5444,7.1538,7.4412,6135652,0
IPF,D,20070924,000000,7.3326,7.4797,7.2496,7.3518,943101,0
IPF,D,20070925,000000,7.2304,7.2634,6.9878,7.1093,4488020,0
IPF,D,20070926,000000,7.0645,7.1675,6.8219,6.9178,3885195,0
IPF,D,20070927,000000,7.0706,7.1411,6.8923,7.0772,4010202,0
IPF,D,20070928,000000,7.1801,7.1801,6.7325,6.8026,13747803,0
IPF,D,20071001,000000,6.7325,7.2564,6.7325,7.1479,9620371,0
IPF,D,20071002,000000,7.187,7.4543,7.187,7.3781,7701872,0
IPF,D,20071003,000000,7.4543,7.53,7.3271,7.5182,3776557,0
IPF,D,20071004,000000,7.3326,7.6146,7.3326,7.6012,2682913,0
IPF,D,20071005,000000,7.4543,7.5696,7.1159,7.2755,3179851,0
IPF,D,20071008,000000,7.2877,7.4412,7.1801,7.365,3255517,0
IPF,D,20071009,000000,7.1411,7.3718,7.1411,7.2938,4927808,0
IPF,D,20071010,000000,7.3897,7.4227,7.2634,7.365,3505241,0
IPF,D,20071011,000000,7.2938,7.3075,7.1538,7.187,5428980,0
IPF,D,20071012,000000,7.0898,7.3718,7.0898,7.2755,1395757,0
IPF,D,20071015,000000,7.3781,7.4157,7.2938,7.3271,7215478,0
IPF,D,20071016,000000,7.1607,7.2634,6.9813,7.2367,5622196,0
IPF,D,20071017,000000,7.2755,7.7626,7.2755,7.7351,7150227,0
IPF,D,20071018,000000,7.5576,7.6012,7.2564,7.5878,3778338,0
IPF,D,20071019,000000,7.6524,8.3295,7.4473,8.2013,8085189,0
