<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UCG,D,19940513,000000,69.188,69.947,68.808,68.808,539464,0
UCG,D,19940516,000000,67.663,67.85,65.378,66.905,580885,0
UCG,D,19940517,000000,65.76,68.428,65.571,67.09,256687,0
UCG,D,19940518,000000,67.85,68.428,66.145,66.709,167772,0
UCG,D,19940519,000000,67.289,67.289,64.617,65.76,177950,0
UCG,D,19940520,000000,64.992,65.76,63.662,64.617,152093,0
UCG,D,19940523,000000,63.854,64.617,62.525,64.237,114188,0
UCG,D,19940524,000000,63.662,65.946,63.084,64.808,119685,0
UCG,D,19940525,000000,65.191,65.76,59.662,62.525,241243,0
UCG,D,19940526,000000,61.376,62.139,59.473,59.853,225334,0
UCG,D,19940527,000000,59.662,60.612,57.365,58.133,271195,0
UCG,D,19940530,000000,59.662,60.042,57.944,59.473,217729,0
UCG,D,19940531,000000,58.524,60.986,58.524,59.473,140628,0
UCG,D,19940601,000000,61.376,61.756,58.524,59.853,236096,0
UCG,D,19940602,000000,60.426,62.139,60.426,61.756,194914,0
UCG,D,19940603,000000,61.756,62.33,61.566,62.139,98744,0
UCG,D,19940606,000000,61.181,62.139,60.986,61.756,74643,0
UCG,D,19940607,000000,60.806,61.95,60.042,61.181,92543,0
UCG,D,19940608,000000,60.612,61.181,60.042,60.426,78153,0
UCG,D,19940609,000000,60.042,60.986,59.853,60.042,73707,0
UCG,D,19940610,000000,59.473,60.806,59.278,59.662,116761,0
UCG,D,19940613,000000,58.324,59.088,57.365,57.755,108454,0
UCG,D,19940614,000000,56.415,57.755,54.897,56.611,203221,0
UCG,D,19940615,000000,56.99,58.324,56.231,56.611,221706,0
UCG,D,19940616,000000,57.365,57.755,54.134,54.897,203104,0
UCG,D,19940617,000000,56.415,56.415,53.938,55.847,211060,0
UCG,D,19940620,000000,55.847,55.847,53.175,53.558,176429,0
UCG,D,19940621,000000,55.661,55.847,52.605,52.989,319516,0
UCG,D,19940622,000000,54.512,55.847,54.134,55.661,304423,0
UCG,D,19940623,000000,57.57,58.324,56.415,56.801,376139,0
UCG,D,19940624,000000,56.611,56.801,55.661,56.231,104477,0
UCG,D,19940627,000000,56.231,56.611,55.277,55.661,208371,0
UCG,D,19940628,000000,56.801,56.99,55.461,55.847,164027,0
UCG,D,19940629,000000,56.036,56.036,55.277,55.461,98627,0
UCG,D,19940630,000000,55.277,55.277,53.938,54.512,144722,0
UCG,D,19940701,000000,54.134,55.461,53.175,54.897,141330,0
UCG,D,19940704,000000,55.277,56.036,54.897,55.461,104594,0
UCG,D,19940705,000000,55.661,56.611,54.897,56.036,87162,0
UCG,D,19940706,000000,56.801,57.365,55.661,55.847,81897,0
UCG,D,19940707,000000,55.661,56.036,54.319,54.708,132555,0
UCG,D,19940708,000000,55.083,55.277,54.134,54.319,95584,0
UCG,D,19940711,000000,54.897,55.847,54.319,54.897,85757,0
UCG,D,19940712,000000,55.083,55.277,53.938,54.512,113369,0
UCG,D,19940713,000000,54.897,55.847,54.897,55.277,112667,0
UCG,D,19940714,000000,55.461,58.133,55.083,57.755,235395,0
UCG,D,19940715,000000,57.57,58.324,57.18,57.57,179004,0
UCG,D,19940718,000000,55.277,56.611,55.083,56.231,84471,0
UCG,D,19940719,000000,56.99,60.806,56.99,60.612,139224,0
