<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IFI,D,20150617,000000,0.9635,0.9635,0.9635,0.9635,10,0
IFI,D,20150618,000000,0.9635,0.9635,0.9635,0.9635,540,0
IFI,D,20150622,000000,1.0273,1.0273,1.0035,1.0035,252,0
IFI,D,20150623,000000,1.0273,1.0273,1.0273,1.0273,5,0
IFI,D,20150629,000000,0.9475,1.0273,0.9475,1.0273,1382,0
IFI,D,20150630,000000,1.0749,1.0749,1.0273,1.0273,1009,0
IFI,D,20150702,000000,1.0433,1.0433,1.0433,1.0433,5,0
IFI,D,20150706,000000,1.0273,1.0273,1.0273,1.0273,10,0
IFI,D,20150709,000000,1.0193,1.0193,0.9635,0.9635,8977,0
IFI,D,20150710,000000,0.9635,0.9635,0.9635,0.9635,8287,0
IFI,D,20150713,000000,0.9715,0.9715,0.9715,0.9715,5,0
IFI,D,20150714,000000,1.0433,1.0433,1.0273,1.0273,125,0
IFI,D,20150715,000000,0.9715,0.9715,0.9715,0.9715,50,0
IFI,D,20150716,000000,0.9715,0.9715,0.9715,0.9715,448,0
IFI,D,20150717,000000,0.9715,0.9715,0.9715,0.9715,5,0
IFI,D,20150720,000000,0.9715,0.9715,0.9715,0.9715,5,0
IFI,D,20150721,000000,1.0273,1.0273,1.0273,1.0273,842,0
IFI,D,20150728,000000,0.9715,1.0113,0.9715,1.0113,569,0
IFI,D,20150729,000000,0.9795,0.9795,0.9795,0.9795,125,0
IFI,D,20150731,000000,1.0193,1.0193,0.9795,0.9795,3831,0
IFI,D,20150803,000000,1.0193,1.0193,1.0193,1.0193,61,0
IFI,D,20150805,000000,1.0035,1.0035,1.0035,1.0035,10,0
IFI,D,20150807,000000,0.9715,0.9715,0.9556,0.9556,10722,0
IFI,D,20150810,000000,0.9317,0.9475,0.9079,0.9475,15154,0
IFI,D,20150811,000000,0.9475,0.9475,0.9475,0.9475,1,0
IFI,D,20150812,000000,0.9394,0.9394,0.9394,0.9394,1,0
IFI,D,20150813,000000,0.9394,0.9394,0.9394,0.9394,1,0
IFI,D,20150814,000000,0.9394,0.9394,0.9394,0.9394,1,0
IFI,D,20150817,000000,0.9394,0.9394,0.9394,0.9394,5,0
IFI,D,20150818,000000,0.9079,0.9079,0.8917,0.8917,4007,0
IFI,D,20150819,000000,0.9556,0.9556,0.9556,0.9556,1,0
IFI,D,20150820,000000,0.8836,0.8836,0.8836,0.8836,375,0
IFI,D,20150821,000000,0.9394,0.9394,0.9394,0.9394,1,0
IFI,D,20150824,000000,0.8917,0.8917,0.8836,0.8836,16740,0
IFI,D,20150825,000000,0.8836,0.8836,0.8836,0.8836,2512,0
IFI,D,20150826,000000,0.9157,0.9795,0.9157,0.9795,11343,0
IFI,D,20150827,000000,0.9715,1.051,0.9715,1.051,13715,0
IFI,D,20150828,000000,1.0193,1.0193,1.0193,1.0193,690,0
IFI,D,20150901,000000,0.9795,0.9795,0.9715,0.9715,7833,0
IFI,D,20150903,000000,0.9795,0.9795,0.9795,0.9795,10276,0
IFI,D,20150904,000000,0.9795,0.9795,0.9795,0.9795,1256,0
IFI,D,20150907,000000,0.9874,0.9953,0.9874,0.9953,2095,0
IFI,D,20150908,000000,0.9795,0.9795,0.9795,0.9795,10,0
IFI,D,20150909,000000,0.9795,0.9795,0.9795,0.9795,2,0
IFI,D,20150910,000000,1.0352,1.0352,1.0352,1.0352,425,0
IFI,D,20150911,000000,1.0352,1.0352,1.0352,1.0352,1,0
IFI,D,20150914,000000,1.0352,1.0352,1.0352,1.0352,197,0
IFI,D,20150917,000000,1.0193,1.0193,1.0193,1.0193,15,0
IFI,D,20150921,000000,0.9795,0.9795,0.9795,0.9795,2,0
IFI,D,20150923,000000,1.0352,1.0352,1.0352,1.0352,1,0
