<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MVP,D,20090812,000000,4.2012,4.4162,4.1113,4.4127,9227,0
MVP,D,20090813,000000,4.4706,5.404,4.4162,5.404,15285,0
MVP,D,20090814,000000,6.6425,6.6425,5.9784,6.2442,20209,0
MVP,D,20090817,000000,6.1758,8.3049,5.6371,8.3049,28284,0
MVP,D,20090818,000000,9.1342,10.046,8.6532,9.3716,69897,0
MVP,D,20090819,000000,8.4371,9.2812,7.7666,8.6887,22721,0
MVP,D,20090820,000000,8.9397,9.0475,7.8993,8.0429,14610,0
MVP,D,20090821,000000,8.7608,8.7608,8.0644,8.262,8170,0
MVP,D,20090824,000000,8.4274,8.4274,7.1807,7.2892,15658,0
MVP,D,20090825,000000,7.0412,7.54,6.8221,7.0018,44568,0
MVP,D,20090826,000000,7.2816,7.2816,6.463,6.9942,10834,0
MVP,D,20090827,000000,7.1807,7.1807,6.646,6.6784,4674,0
MVP,D,20090828,000000,7.0915,7.0915,6.1433,6.1433,6659,0
MVP,D,20090831,000000,6.1399,6.5706,5.6446,6.3913,9392,0
MVP,D,20090901,000000,6.5313,6.5313,5.752,5.9496,10976,0
MVP,D,20090902,000000,5.7446,5.9244,5.4218,5.551,3852,0
MVP,D,20090903,000000,5.4575,5.5293,5.0271,5.3858,17976,0
MVP,D,20090904,000000,5.3143,5.7446,5.296,5.7446,2582,0
MVP,D,20090907,000000,5.7808,7.2892,5.7808,7.2892,42165,0
MVP,D,20090908,000000,7.3535,7.54,6.1041,6.3012,31411,0
MVP,D,20090909,000000,6.6708,6.6708,6.3552,6.4809,12531,0
MVP,D,20090910,000000,6.6708,7.1019,6.3552,6.6031,10662,0
MVP,D,20090911,000000,6.4269,6.5596,6.4269,6.5596,1013,0
MVP,D,20090914,000000,6.2477,6.4592,5.9244,6.2477,3976,0
MVP,D,20090915,000000,6.4269,6.4269,6.1758,6.3803,1337,0
MVP,D,20090916,000000,6.3913,6.4988,6.3913,6.463,1021,0
MVP,D,20090917,000000,6.337,6.5706,6.2477,6.5566,4308,0
MVP,D,20090918,000000,6.2834,6.524,6.2477,6.2656,2314,0
MVP,D,20090921,000000,5.709,6.1001,5.709,5.928,5748,0
MVP,D,20090922,000000,5.8886,6.3621,5.7842,5.928,13040,0
MVP,D,20090923,000000,5.9961,7.0018,5.9961,6.463,32221,0
MVP,D,20090924,000000,6.6425,6.6425,6.0392,6.463,10109,0
MVP,D,20090925,000000,6.2477,6.3518,6.1041,6.2477,5143,0
MVP,D,20090928,000000,6.1041,6.2294,6.1041,6.2294,312,0
MVP,D,20090929,000000,6.3552,6.4592,6.2294,6.4452,5179,0
MVP,D,20090930,000000,6.3913,6.3913,6.3913,6.3913,38,0
MVP,D,20091001,000000,6.4378,6.4378,6.2834,6.2834,1783,0
MVP,D,20091002,000000,6.2115,6.2115,6.1758,6.1758,2401,0
MVP,D,20091005,000000,6.3012,6.42,6.1041,6.3191,5058,0
MVP,D,20091006,000000,6.3552,6.3552,6.1611,6.1611,1737,0
MVP,D,20091007,000000,6.2834,6.2834,6.2834,6.2834,8,0
MVP,D,20091008,000000,6.2798,6.2798,6.0214,6.0967,7204,0
MVP,D,20091009,000000,5.9784,5.9784,5.7446,5.9169,4750,0
MVP,D,20091012,000000,5.8169,5.9675,5.7446,5.9675,4750,0
MVP,D,20091013,000000,5.9675,5.9675,5.7446,5.7446,850,0
MVP,D,20091014,000000,5.6016,5.6729,5.5654,5.6016,2642,0
MVP,D,20091015,000000,5.709,5.709,5.5006,5.6193,2330,0
MVP,D,20091016,000000,5.6155,5.7268,5.6016,5.7268,1046,0
MVP,D,20091019,000000,5.8347,5.8347,5.6697,5.8169,1682,0
